FID,ADDRESS,CITY,STATE,ZIP,COUNTY,LATITUDE,LONGITUDE
128,1405 NORTHWEST CHURCH STREET,LEON,IA,50144,DECATUR,40.75093467,-93.74694077
129,421 SOUTH MAPLE STREET,GARNETT,KS,66032,ANDERSON,38.279877,-95.25033865
130,500 THORPE STREET,LAKIN,KS,67860,KEARNY,37.94659327,-101.25192990000001
131,215 E 8TH STREET,MINNEAPOLIS,KS,67467,OTTAWA,39.12933196,-97.70394425
132,148 CHESTNUT STREET,NEEDHAM,MA,2492,NORFOLK,42.2771,-71.2369
133,4499 ACUSHNET AVENUE,NEW BEDFORD,MA,2745,BRISTOL,41.74072523,-70.94575361
134,800 WASHINGTON ROAD,NORWOOD,MA,2062,NORFOLK,42.18899999999999,-71.2021
135,311 SERVICE ROAD,SANDWICH,MA,2537,BARNSTABLE,41.7329845,-70.46810284
136,230 HIGHLAND AVENUE,SOMERVILLE,MA,2143,MIDDLESEX,42.39,-71.1094
137,516 CAREW ST,SPRINGFIELD,MA,1104,HAMPDEN,42.12131503,-72.59237295
138,7301 ROGERS AVENUE,FORT SMITH,AR,72903,SEBASTIAN,35.35586599,-94.35205497
139,1401 SOUTH J STREET,FORT SMITH,AR,72901,SEBASTIAN,35.37394031,-94.41875448
140,1200 SOUTH MAIN STREET,SEARCY,AR,72143,WHITE,35.23409441,-91.73107431
141,3214 EAST RACE AVENUE,SEARCY,AR,72143,WHITE,35.25188604,-91.69700113
142,200 NORTH THIRD STREET,DARDANELLE,AR,72834,YELL,35.22047614,-93.15729817
143,3050 TWIN RIVERS DRIVE,ARKADELPHIA,AR,71923,CLARK,34.12291357,-93.08882416
144,214 CARTER STREET,BERRYVILLE,AR,72616,CARROLL,36.3590621,-93.55182577
145,24 NORRIS STREET,EUREKA SPRINGS,AR,72632,CARROLL,36.40016379,-93.74423592
146,2729A HWY 65 & 82 S,LAKE VILLAGE,AR,71653,CHICOT,33.30629397,-91.28958992
147,404 SOUTH BRADLEY STREET,WARREN,AR,71671,BRADLEY,33.61036413,-92.05925489
148,2801 MEDICAL CENTER DRIVE,POCAHONTAS,AR,72455,RANDOLPH,36.28976027,-90.99738763
149,201 NORTH CLIFTON STREET,FORDYCE,AR,71742,DALLAS,33.81085539,-92.42558764
