lat,lon,percent_fair_or_poor_health,average_number_of_physically_unhealthy_days,percent_smokers,percent_adults_with_obesity,food_environment_index,percent_physically_inactive,percent_excessive_drinking,teen_birth_rate,percent_uninsured,Is_Medical_Desert
32.90439693,-111.34468159999999,20.09121745,4.229526689,16.2744735,32.6,7.6,28.5,16.12945483,28.59492705,11.02796475,No
31.5260312,-110.8466007,26.57921759,4.505269855,14.57144926,26.9,7.8,20.3,14.138932500000001,37.20894252,13.99328322,No
34.59990128,-112.55391270000001,15.40051142,4.116284082,17.06533007,23.0,6.8,23.2,16.69477185,26.79946879,12.92438197,No
32.76943011,-113.9055971,22.72637637,4.096980833,13.32703585,36.9,6.8,26.3,17.70614739,42.05673048,14.19948099,No
34.29081529,-91.37491716,23.12340567,4.79187837,20.083230399999998,30.6,5.5,38.2,13.73710983,56.30387931,8.924453141,No
33.19121662,-91.76846303,24.02256347,4.789921817,20.45206693,42.6,6.0,47.4,12.66634834,44.78290521,9.202722108,No
36.28721474,-92.33695365,18.94624372,4.410894575,16.24281588,33.7,7.7,29.8,12.97732178,36.34697618,8.383760203,No
36.3387302,-94.25620568,16.23336006,3.832652322,16.51315672,29.3,8.2,23.8,17.61549385,28.12027199,10.42660788,No
36.30859684,-93.09154006,21.217831,4.446559527,19.90299442,34.4,7.0,30.2,14.199844899999999,41.82246226,8.616480163,No
33.46642522,-92.16239583,28.44205722,5.183783954,21.76763047,46.4,6.5,40.8,12.55795627,42.96361245,11.55674047,No
33.55803676,-92.50305009,23.97552891,4.804874162,20.62485566,29.4,4.6,37.1,13.25279097,29.28870293,8.33755702,No
36.34102504,-93.53824639,22.02276918,4.739156878,18.37273365,27.7,8.1,33.5,13.4055378,44.75254475,12.77965783,No
33.26721785,-91.29398408,30.05242378,5.181271498,23.10340952,38.8,2.9,35.6,10.90987935,48.7012987,8.907823393,No
34.05098432,-93.17637293,23.74251321,4.820256061,19.33947371,26.9,5.1,38.3,14.85533236,18.38362817,7.206696878,No
36.368270200000005,-90.41755555,22.55383136,4.857148888,20.33319098,42.6,7.1,31.9,13.95560894,55.03093455,8.657933547,No
35.53810667,-92.0267315,20.06844482,4.440806128,17.40939805,36.6,7.6,34.3,14.05820247,38.25372812,9.121769601,No
33.89837361,-92.18519232,22.030595899999998,4.653727214,19.03855979,35.5,7.0,32.9,14.710687,25.80645161,8.885819521,No
33.214295899999996,-93.22732085,26.52042418,5.171980808,20.47642494,36.4,5.9,34.3,13.82732472,27.48361069,8.278313865,No
35.26225009,-92.70130274,22.15407412,4.683556653,19.00093382,36.8,6.9,38.3,14.48456905,45.24253731,8.502194697,No
35.83079712,-90.63283948,22.71733072,4.779850916,20.76292084,38.2,6.7,34.0,15.00349026,34.30089464,7.940468864,No
35.58909134,-94.24282934,20.1086983,4.7092909039999995,19.00417714,35.2,7.4,31.0,14.47752553,40.01103753,9.8941617,No
35.20794893,-90.30884392,25.87044292,4.912808494,23.311338,41.3,5.8,37.8,12.54750659,55.09140541,7.988737912,No
35.2957176,-90.77122099,23.66743852,4.844203438,20.48800941,38.9,6.7,36.5,13.20263071,48.06408545,8.818967427,No
33.9698172,-92.65445049,22.72461188,4.533580155,19.21190612,38.5,5.5,44.6,12.14312763,25.03052503,8.089053802999999,No
33.83329066,-91.25398866,31.97991039,5.586607128,24.25184846,37.9,4.1,36.8,11.03124494,48.92857143,9.530916844,No
33.58945056,-91.72000352,25.46629278,4.986450989,20.83169978,40.8,5.8,30.1,13.69853774,32.62736119,8.421562522,No
35.14698891,-92.33204986,20.65199747,4.302718861000001,20.53501532,35.2,7.2,30.2,17.89497931,24.62691347,7.979888396000001,No
35.51232578,-93.89064485,21.81170744,4.766314926000001,21.15018395,34.0,7.4,37.0,13.77531594,37.08439898,9.437247528,No
36.38166856,-91.81822275,22.38693055,4.8079022369999995,20.01211508,27.7,6.5,29.9,12.4457748,42.20346513,9.588262056,No
34.57667395,-93.15041723,19.98658798,4.59332743,19.41584472,29.5,6.6,34.9,13.56056605,41.77241963,9.82478436,No
34.29000541,-92.42361729,20.22855459,4.510182851000001,18.22224582,35.7,7.8,39.0,15.67950157,30.23431595,6.070351758999999,No
36.11757281,-90.55898482,20.03421994,4.452127033,19.62221678,36.4,7.0,33.4,15.70129806,49.12390488,7.013996062,No
33.73532953,-93.66848457,26.76711454,5.051287653999999,22.17665818,29.1,5.8,36.4,12.19343113,64.624423,10.76914357,No
34.31763535,-92.94594759,20.16134344,4.566134265,20.33352685,36.1,7.2,37.5,15.59256811,43.37349398,7.6132015310000005,No
34.08877645,-93.99348963,26.3945723,4.936118341999999,21.85560495,44.5,5.7,29.5,12.72204331,42.41219351,11.59857417,No
35.74157916,-91.56971501,22.98525,4.7470092589999995,19.872211,28.6,7.2,29.8,14.55546734,38.49238172,8.14072678,No
36.094882299999995,-91.91341943,20.42463077,4.578777561,19.6610893,34.5,7.7,30.5,13.51724725,37.43760399,10.390170300000001,No
35.59928058,-91.21455819,25.456038600000003,5.006419443,22.09812435,43.0,6.0,33.1,13.5387336,66.10275689,8.72500211,No
34.26878932,-91.93151920000001,25.73728349,4.952227927,21.33182297,40.8,5.4,34.1,13.04648318,46.27219619,7.234525618999999,No
35.57007496,-93.45990191,24.32237691,4.77864429,20.75246524,39.5,7.6,28.9,14.269256500000001,40.51106264,10.567369300000001,No
33.24095137,-93.60706141,25.29387321,4.925194809,20.14548405,46.2,5.8,45.4,11.84701273,60.49290515,10.59098888,No
36.04126204,-91.10709315,20.94174644,4.5708435519999995,19.39464182,32.3,6.3,31.0,14.63436095,39.78120338,8.279309537,No
34.78066369,-90.78214918,29.15804266,5.23026847,24.77022902,39.4,3.4,33.4,12.71141466,49.83748646,8.552044278,No
33.95744928,-91.73333546,24.86347965,4.579554176,22.46742069,32.6,5.7,40.0,15.39557162,33.89830509,9.366670897,No
33.70051747,-94.2343535,24.33681544,4.870304133,21.06474717,37.8,6.8,35.2,13.22499882,43.05135952,8.975680132,No
35.2152782,-93.71633143,22.27888198,4.874323862,20.39945618,32.8,7.3,35.3,14.09908409,49.81801638,9.622213167,No
34.75428466,-91.88866978,18.91173354,4.163294191,18.58597272,43.0,7.5,32.7,15.84128581,31.414541800000002,7.11518473,No
36.01096139,-93.72456025,21.94536858,4.749390319,20.81386831,34.7,7.0,30.9,14.581126300000001,48.45070423,11.46205952,No
36.2683886,-92.68423629,19.77407312,4.59415688,19.92201061,28.8,7.2,29.9,13.28250752,47.95278495,9.720670391,No
33.31209853,-93.89155929,22.7213858,4.755217632,21.4787182,34.3,5.8,40.0,13.59145019,52.49283668,8.076271186,No
35.76383677,-90.0542096,27.27044036,5.19498227,23.64471247,40.9,5.7,38.0,12.77043892,63.61627693,7.565356672999999,No
34.67783738,-91.20390021,28.112733000000002,5.293225753,22.24046123,38.5,5.7,37.4,11.09457664,55.95238095,8.491809452,No
34.53893095,-93.65942577,21.74415188,4.638834996,18.47042663,29.0,6.9,24.4,12.61821602,42.51601631,11.42946123,No
33.66396355,-93.30720165,25.58941012,4.943455479,21.28582266,35.6,5.6,41.3,12.41977329,48.57316333,8.360277136,No
35.91997852,-93.21787349,21.74563842,4.663421465,19.00781447,32.0,6.2,26.1,13.24636001,42.90657439,9.633507853,No
33.59336335,-92.88194267,27.01047983,5.313399316,22.84547864,38.1,5.2,34.4,12.15617225,45.47342193,6.9505055879999995,No
34.94737749,-92.9314544,20.41440341,4.541157564,18.91697361,33.3,7.4,28.1,14.61265241,34.02903811,8.854924794,No
34.42824803,-90.84806393,32.867584,5.592273929,24.35440722,42.8,2.4,40.3,10.05838221,76.38459955,7.310260252999999,No
34.16367064,-93.65648224,22.1600246,4.7448109689999995,20.06153685,33.6,7.0,37.4,14.33172554,35.77044025,11.99715201,No
35.57402831,-90.66299621,23.6238212,4.98893012,21.81181141,41.7,5.7,40.2,14.25844127,54.88389944,9.506482858,No
34.48586968,-94.2280725,23.87884729,4.982227297,20.48396333,33.6,5.7,31.4,12.92156587,45.06437768,12.98405467,No
35.44763333,-93.03415953,22.07626162,4.792468598999999,19.38562868,34.4,7.2,31.8,16.00428979,29.81394306,10.51077825,No
34.82980539,-91.55278939,21.51663057,4.527516764,18.5468038,44.4,5.8,47.1,13.54815403,42.36718225,9.153354633,No
34.76993741,-92.31177928,19.18877764,3.9934832410000003,18.18088941,33.2,6.2,29.5,15.28061985,35.61430598,7.65733743,No
36.34146787,-91.02771541,22.10491716,4.74581095,20.48611877,35.0,6.3,33.2,13.94958234,50.83783016,8.921825051,No
35.02202096,-90.74775444,27.93666261,5.039185683,24.12771764,42.9,4.5,40.1,12.55032273,76.28370890000001,8.473035177,No
34.64659348,-92.67651867,15.44554142,3.725265507,16.49051872,30.2,7.9,27.2,17.40430048,23.599182,7.505632508,No
34.86078056,-94.06324484,23.07263815,4.8690462,20.044697,38.4,7.2,37.4,13.859703099999999,53.58764759,11.65202538,No
35.91090174,-92.69950973,21.88827494,4.674358163,19.92464737,32.3,6.4,31.3,13.33797924,36.93931398,10.02048481,No
35.19966342,-94.27418517,21.42985336,4.527524659,21.64901995,31.1,7.3,30.0,14.71017687,40.49659031,12.85922719,No
33.99718145,-94.24118451,28.76292407,4.96790886,19.56147979,33.3,7.4,37.0,13.35090244,57.68321513,17.74372487,No
36.16114936,-91.47986522,26.31817582,5.352923351,21.08887981,37.8,6.5,34.9,12.3212484,51.10410095,10.47904192,No
35.85988339,-92.15670818,22.6265688,4.867461541,20.45945154,38.9,6.3,32.5,12.64900236,49.895178200000004,11.86666667,No
33.17130767,-92.59727435,23.42252094,4.606353123,19.92321164,34.6,5.8,32.6,12.87547779,46.4977289,8.89518061,No
35.58065184,-92.51569352,20.980773499999998,4.739985648,18.99563214,37.2,7.1,30.7,13.07000652,39.94845361,9.804898298,No
35.97906766,-94.21558367,20.14774338,4.104233681,18.97260097,29.8,7.5,25.4,17.00732717,27.78314962,12.41816198,No
35.25628453,-91.74555859,20.22553819,4.39833573,19.34556732,31.4,7.3,30.6,15.03484265,33.45062163,8.538379986,No
35.18632745,-91.24306747,25.88739379,5.072552346,21.44540376,42.1,6.4,40.6,12.35474454,51.68986084,9.665052462,No
35.00260958,-93.41124566,25.06272431,4.76471959,20.80752636,37.7,7.7,35.3,13.86090471,47.53009548,12.00959397,No
37.64695978,-121.8887673,12.41221904,3.0102864019999998,9.732710338,19.4,8.3,14.5,19.88966944,11.40814938,5.782793558,No
38.44639526,-120.65110290000001,13.10249981,3.4445064160000003,10.83218967,29.7,8.2,24.8,21.10909291,18.101092899999998,6.195907142,No
39.66694537,-121.60069440000001,17.4487559,4.209780651,13.76832727,27.2,7.0,22.4,20.20733398,17.64340972,7.163652787999999,No
38.20460285,-120.55413600000001,12.32914476,3.4489041589999996,10.95193564,30.5,8.2,31.2,20.18106761,13.72858705,7.330775968999999,No
39.17748899,-122.2369726,19.41526547,3.990693452,12.21725592,40.5,8.2,27.9,20.12134238,29.63248028,10.72809454,No
37.91916707,-121.92793909999999,12.3004844,3.0775355010000003,9.940587127999999,24.0,8.5,16.2,19.59570991,11.39800141,5.895617328999999,No
41.74313535,-123.89726200000001,17.68336332,4.279240975,15.1322448,34.4,6.4,24.9,19.89952383,42.46952418,6.23344164,No
38.77873901,-120.5246746,12.03408866,3.4264789660000003,11.22036068,22.5,8.2,18.2,22.29160361,10.0725013,5.403071527000001,No
36.75820145,-119.64931829999999,23.79711945,4.213037627,13.35890782,31.4,7.7,20.0,16.51386204,34.20833733,8.734378652,No
39.59820691,-122.3920119,18.47334716,4.077166573,13.18078902,32.3,8.0,19.3,19.83658732,28.03602557,10.98054408,No
40.69930254,-123.8756432,15.68309618,4.117205653,14.46850837,29.0,7.1,16.9,20.62919343,15.79113924,8.879552331000001,No
33.03951697,-115.3653628,24.612959,4.339526052,12.84001073,34.6,7.2,31.4,17.11969222,38.77365041,7.904401872999999,No
